Experiment,Type,LIN,SI,CL,D,HI,PL,TI,PC,Macro Avg
peft_multi_label_cpt_asy,Positive_F1,0.0,1.08,13.7,0.0,2.44,2.34,1.65,1.71,2.86
peft_multi_label_cpt_asy,Negative_F1,98.66,97.55,90.94,97.79,98.2,92.9,96.16,98.38,96.32
peft_multi_label_cpt_asy,Average_F1,49.33,49.31,52.32,48.89,50.32,47.62,48.9,50.04,49.59
peft_multi_label_cpt_asy,Positive_Precision,0.0,0.9,10.58,0.0,1.35,1.81,1.48,1.52,2.21
peft_multi_label_cpt_asy,Negative_Precision,98.78,97.67,93.9,99.71,99.34,95.3,96.6,98.44,97.47
peft_multi_label_cpt_asy,Average_Precision,49.39,49.28,52.24,49.86,50.34,48.56,49.04,49.98,49.84
peft_multi_label_cpt_asy,Positive_Recall,0.0,1.33,19.44,0.0,12.5,3.47,1.85,1.96,5.07
peft_multi_label_cpt_asy,Negative_Recall,98.54,97.45,88.15,95.96,97.12,90.65,95.74,98.31,95.24
peft_multi_label_cpt_asy,Average_Recall,49.27,49.39,53.8,47.98,54.81,47.06,48.8,50.14,50.16
paragraph-multilabel-llama-base-bce,Positive_F1,41.35,30.27,81.7,75.0,14.07,75.37,48.23,34.68,50.08
paragraph-multilabel-llama-base-bce,Negative_F1,99.52,98.94,98.75,99.91,99.63,98.91,98.61,99.36,99.2
paragraph-multilabel-llama-base-bce,Average_F1,70.43,64.6,90.23,87.45,56.85,87.14,73.42,67.02,74.64
paragraph-multilabel-llama-base-bce,Positive_Precision,82.22,64.6,85.05,60.0,50.0,78.85,66.26,91.67,72.33
paragraph-multilabel-llama-base-bce,Negative_Precision,99.14,98.14,98.49,100.0,99.32,98.72,97.9,98.77,98.81
paragraph-multilabel-llama-base-bce,Average_Precision,90.68,81.37,91.77,80.0,74.66,88.78,82.08,95.22,85.57
paragraph-multilabel-llama-base-bce,Positive_Recall,28.21,20.0,78.7,100.0,8.33,72.22,37.96,21.57,45.87
paragraph-multilabel-llama-base-bce,Negative_Recall,99.91,99.75,99.01,99.82,99.94,99.1,99.33,99.97,99.6
paragraph-multilabel-llama-base-bce,Average_Recall,64.06,59.87,88.86,99.91,54.14,85.66,68.65,60.77,72.74
paragraph-multilabel-llama-base-full-finetune-asy,Positive_F1,57.57,34.8,79.47,63.89,36.24,74.77,55.07,46.94,56.09
paragraph-multilabel-llama-base-full-finetune-asy,Negative_F1,99.36,98.3,98.45,99.83,99.58,98.72,98.24,99.13,98.95
paragraph-multilabel-llama-base-full-finetune-asy,Average_F1,78.47,66.55,88.96,81.86,67.91,86.75,76.66,73.03,77.52
paragraph-multilabel-llama-base-full-finetune-asy,Positive_Precision,48.4,31.74,75.2,47.78,40.0,70.02,49.9,45.46,51.06
paragraph-multilabel-llama-base-full-finetune-asy,Negative_Precision,99.66,98.55,98.87,100.0,99.51,99.09,98.69,99.19,99.19
paragraph-multilabel-llama-base-full-finetune-asy,Average_Precision,74.03,65.14,87.03,73.89,69.75,84.56,74.29,72.33,75.13
paragraph-multilabel-llama-base-full-finetune-asy,Positive_Recall,71.79,38.67,84.26,100.0,33.33,80.56,62.04,49.02,64.96
paragraph-multilabel-llama-base-full-finetune-asy,Negative_Recall,99.07,98.05,98.03,99.66,99.66,98.36,97.81,99.06,98.71
paragraph-multilabel-llama-base-full-finetune-asy,Average_Recall,85.43,68.36,91.14,99.83,66.5,89.46,79.92,74.04,81.84
paragraph-multilabel-llama-cpt-bce,Positive_F1,36.76,16.59,80.99,75.0,0.0,75.85,51.37,26.19,45.34
paragraph-multilabel-llama-cpt-bce,Negative_F1,99.52,98.78,98.74,99.91,99.57,98.94,98.69,99.3,99.18
paragraph-multilabel-llama-cpt-bce,Average_F1,68.14,57.69,89.86,87.45,49.78,87.4,75.03,62.75,72.26
paragraph-multilabel-llama-cpt-bce,Positive_Precision,91.67,39.81,86.79,60.0,0.0,80.04,69.99,80.56,63.61
paragraph-multilabel-llama-cpt-bce,Negative_Precision,99.08,97.93,98.3,100.0,99.26,98.72,98.0,98.67,98.75
paragraph-multilabel-llama-cpt-bce,Average_Precision,95.37,68.87,92.55,80.0,49.63,89.38,83.99,89.62,81.18
paragraph-multilabel-llama-cpt-bce,Positive_Recall,23.08,10.67,75.93,100.0,0.0,72.22,40.74,15.69,42.29
paragraph-multilabel-llama-cpt-bce,Negative_Recall,99.97,99.65,99.18,99.82,99.88,99.16,99.4,99.94,99.62
paragraph-multilabel-llama-cpt-bce,Average_Recall,61.52,55.16,87.55,99.91,49.94,85.69,70.07,57.81,70.96
paragraph-multilabel-llama-cpt-full-finetune-asy,Positive_F1,56.28,37.04,78.17,67.22,19.41,70.72,57.59,42.99,53.68
paragraph-multilabel-llama-cpt-full-finetune-asy,Negative_F1,99.36,98.41,98.26,99.86,99.46,98.45,98.26,99.0,98.88
paragraph-multilabel-llama-cpt-full-finetune-asy,Average_F1,77.82,67.72,88.21,83.54,59.44,84.58,77.92,70.99,76.28
paragraph-multilabel-llama-cpt-full-finetune-asy,Positive_Precision,49.1,35.14,71.44,50.95,23.33,63.41,49.96,39.74,47.88
paragraph-multilabel-llama-cpt-full-finetune-asy,Negative_Precision,99.59,98.58,99.03,100.0,99.38,99.09,98.91,99.15,99.22
paragraph-multilabel-llama-cpt-full-finetune-asy,Average_Precision,74.35,66.86,85.24,75.48,61.36,81.25,74.43,69.45,73.55
paragraph-multilabel-llama-cpt-full-finetune-asy,Positive_Recall,66.67,40.0,86.57,100.0,16.67,80.56,68.52,47.06,63.26
paragraph-multilabel-llama-cpt-full-finetune-asy,Negative_Recall,99.13,98.24,97.5,99.72,99.54,97.81,97.62,98.85,98.55
paragraph-multilabel-llama-cpt-full-finetune-asy,Average_Recall,82.9,69.12,92.04,99.86,58.1,89.18,83.07,72.95,80.9
paragraph-multilabel-modernbert-large,Positive_F1,9.57,5.89,69.72,24.44,9.26,49.12,27.74,9.96,25.71
paragraph-multilabel-modernbert-large,Negative_F1,99.18,98.49,98.02,99.83,99.38,98.14,98.04,98.9,98.75
paragraph-multilabel-modernbert-large,Average_F1,54.37,52.19,83.87,62.14,54.32,73.63,62.89,54.43,62.23
paragraph-multilabel-modernbert-large,Positive_Precision,12.86,12.75,76.14,27.78,11.67,66.36,37.37,15.56,32.56
paragraph-multilabel-modernbert-large,Negative_Precision,98.89,97.77,97.49,99.78,99.32,97.29,97.37,98.54,98.31
paragraph-multilabel-modernbert-large,Average_Precision,55.87,55.26,86.82,63.78,55.49,81.82,67.37,57.05,65.43
paragraph-multilabel-modernbert-large,Positive_Recall,7.69,4.0,64.35,22.22,8.33,40.28,22.22,7.84,22.12
paragraph-multilabel-modernbert-large,Negative_Recall,99.47,99.21,98.55,99.88,99.44,99.0,98.73,99.25,99.19
paragraph-multilabel-modernbert-large,Average_Recall,53.58,51.61,81.45,61.05,53.89,69.64,60.48,53.55,60.66
paragraph-multilabel-modernbert-large-asy,Positive_F1,19.36,17.82,67.54,67.22,23.33,48.46,32.25,11.39,35.92
paragraph-multilabel-modernbert-large-asy,Negative_F1,99.26,98.26,97.5,99.86,99.6,97.76,97.71,99.05,98.62
paragraph-multilabel-modernbert-large-asy,Average_F1,59.31,58.04,82.52,83.54,61.47,73.11,64.98,55.22,67.27
paragraph-multilabel-modernbert-large-asy,Positive_Precision,27.78,20.25,63.23,50.95,41.67,51.92,33.38,21.67,38.86
paragraph-multilabel-modernbert-large-asy,Negative_Precision,98.98,98.03,98.04,100.0,99.38,97.51,97.65,98.55,98.52
paragraph-multilabel-modernbert-large-asy,Average_Precision,63.38,59.14,80.63,75.48,70.53,74.71,65.52,60.11,68.69
paragraph-multilabel-modernbert-large-asy,Positive_Recall,15.38,16.0,72.69,100.0,16.67,45.83,31.48,7.84,38.24
paragraph-multilabel-modernbert-large-asy,Negative_Recall,99.53,98.49,96.97,99.72,99.81,98.01,97.78,99.56,98.73
paragraph-multilabel-modernbert-large-asy,Average_Recall,57.46,57.25,84.83,99.86,58.24,71.92,64.63,53.7,68.49
paragraph-multilabel-modernbert-cpt-bce,Positive_F1,9.34,13.26,67.41,28.59,3.42,49.17,37.36,12.73,27.66
paragraph-multilabel-modernbert-cpt-bce,Negative_F1,97.02,97.79,97.84,98.83,98.72,98.19,97.72,98.32,98.05
paragraph-multilabel-modernbert-cpt-bce,Average_F1,53.18,55.53,82.62,63.71,51.07,73.68,67.54,55.53,62.86
paragraph-multilabel-modernbert-cpt-bce,Positive_Precision,5.74,10.33,72.02,21.81,2.15,68.98,37.91,11.11,28.76
paragraph-multilabel-modernbert-cpt-bce,Negative_Precision,99.06,98.08,97.42,99.97,99.31,97.23,97.9,98.65,98.45
paragraph-multilabel-modernbert-cpt-bce,Average_Precision,52.4,54.2,84.72,60.89,50.73,83.1,67.9,54.88,63.6
paragraph-multilabel-modernbert-cpt-bce,Positive_Recall,25.64,18.67,63.43,88.89,8.33,38.89,38.89,15.69,37.3
paragraph-multilabel-modernbert-cpt-bce,Negative_Recall,95.06,97.52,98.26,97.72,98.14,99.16,97.55,98.0,97.68
paragraph-multilabel-modernbert-cpt-bce,Average_Recall,60.35,58.09,80.84,93.3,53.24,69.03,68.22,56.84,67.49
paragraph-multilabel-modernbert-cpt-asy,Positive_F1,29.94,32.69,75.11,59.26,21.93,63.16,39.52,33.59,44.4
paragraph-multilabel-modernbert-cpt-asy,Negative_F1,99.1,98.44,98.19,99.83,99.3,98.13,97.95,99.25,98.77
paragraph-multilabel-modernbert-cpt-asy,Average_F1,64.52,65.57,86.65,79.54,60.62,80.64,68.74,66.42,71.59
paragraph-multilabel-modernbert-cpt-asy,Positive_Precision,29.49,33.43,74.29,44.44,21.0,59.5,40.06,58.25,45.06
paragraph-multilabel-modernbert-cpt-asy,Negative_Precision,99.16,98.4,98.32,99.97,99.44,98.54,97.94,98.82,98.82
paragraph-multilabel-modernbert-cpt-asy,Average_Precision,64.32,65.92,86.3,72.21,60.22,79.02,69.0,78.54,71.94
paragraph-multilabel-modernbert-cpt-asy,Positive_Recall,30.77,32.0,76.39,88.89,25.0,68.75,39.81,25.49,48.39
paragraph-multilabel-modernbert-cpt-asy,Negative_Recall,99.04,98.49,98.06,99.69,99.16,97.72,97.97,99.69,98.73
paragraph-multilabel-modernbert-cpt-asy,Average_Recall,64.9,65.25,87.22,94.29,62.08,83.23,68.89,62.59,73.56
random_predictions.csv,Positive_F1,2.17,4.4,12.73,0.76,1.48,7.38,6.13,1.78,4.6
random_predictions.csv,Negative_F1,66.46,64.22,66.88,68.01,67.2,67.08,65.19,65.76,66.35
random_predictions.csv,Average_F1,34.31,34.31,39.8,34.38,34.34,37.23,35.66,33.77,35.48
random_predictions.csv,Positive_Precision,1.11,2.3,7.24,0.38,0.75,4.03,3.27,0.92,2.5
random_predictions.csv,Negative_Precision,98.71,97.69,93.93,99.82,99.27,95.21,96.63,97.78,97.38
random_predictions.csv,Average_Precision,49.91,49.99,50.58,50.1,50.01,49.62,49.95,49.35,49.94
random_predictions.csv,Positive_Recall,46.15,52.0,52.78,66.67,50.0,43.75,50.0,29.41,48.84
random_predictions.csv,Negative_Recall,50.09,47.83,51.92,51.57,50.79,51.78,49.19,49.53,50.34
random_predictions.csv,Average_Recall,48.12,49.92,52.35,59.12,50.39,47.77,49.59,39.47,49.59
zero_predictions.csv,Positive_F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero_predictions.csv,Negative_F1,99.4,98.83,96.57,99.86,99.63,97.74,98.31,99.21,98.69
zero_predictions.csv,Average_F1,49.7,49.42,48.28,49.93,49.81,48.87,49.16,49.61,49.35
zero_predictions.csv,Positive_Precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero_predictions.csv,Negative_Precision,98.8,97.7,93.36,99.72,99.26,95.58,96.68,98.43,97.44
zero_predictions.csv,Average_Precision,49.4,48.85,46.68,49.86,49.63,47.79,48.34,49.22,48.72
zero_predictions.csv,Positive_Recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero_predictions.csv,Negative_Recall,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
zero_predictions.csv,Average_Recall,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
